test_idx,claim,true_label,evidence,explanation
0,A viral picture alleges that Sonia Gandhi and Rajiv Gandhi got married in a Christian ceremony.,Partially True,"- Recent photo of BJP leader Jyotiraditya Scindia and Rahul Gandhi attending the same marriage in Nepal. (Rated: False, Year: 2022)
- Photo shows Jyotiraditya Scindia and Rahul Gandhi at the same wedding in Nepal (Rated: False, Year: 2022)
- The picture shows Rahul Gandhi and Jyotiraditya Scindia attending a wedding reception in Nepal (Rated: False, Year: 2022)","A viral picture of Sonia Gandhi and Rajiv Gandhi getting married in a Christian ceremony in Nepal. (Rated: False, Year: 2022) Photo shows Jyotiraditya Scindia and Rahul Gandhi at the same wedding in Nepal (Rated: False, Year: 2022) Photo shows Jyotiraditya Scindia and Rahul Gandhi at a wedding reception in Nepal (Rated: False, Year: 2022)"
1,"Under New York's Clean Slate Act ""violent crimes … will now be automatically sealed after a set time - like they never happened.""",Partially True,"- ""Violent crimes where a firearm is used have remained static since 2013 in both New York State and Erie County"" (Rated: Partially True, Year: 2017)
- ""We've had a dramatic drop in violent crime since this law has been in effect."" (Rated: Partially True, Year: 2012)
- Illinois passed the SAFE-T Act, which will go into effect in January 2023 and will make some violent crimes, including murder and homicide, non-detainable offenses prior to trial, which means violent criminals will be released without bail. (Rated: Partially True, Year: 2022)",Violent crimes will now be automatically sealed after a set time - like they never happened.
2,"11,000 politicians in New Zealand exempted from Covid vaccination",Partially True,"- New Zealand Government can force citizens to be vaccinated (Rated: Partially True, Year: 2020)
- The spread of COVID-19 in New Zealand was due to people getting vaccinated. (Rated: False, Year: 2022)
- ""New Zealand let health experts"" rather than politicians make decisions about how to deal with COVID-19, ""and as of today they have zero COVID cases."" (Rated: Partially True, Year: 2020)","Covid is a viral disease that can be transmitted by a person's immune system. New Zealand's government can force citizens to be vaccinated. The spread of COVID-19 in New Zealand was due to people getting vaccinated. (Rated: False, Year: 2020)"
3,"Medical practitioners, fact checkers and journalists need to collaborate to make it happen",Other,"- Top fact-checkers from Asia share personal stories, deep insights, and practical tips to tackle the avalanche of health fake news at the Misinformation in Medicine Summit 2020. (Rated: Other, Year: 2020)
- What does a fact-checking organization do when the facts aren't clear? And what happens when reputable scientists disagree about a public health policy? (Rated: Partially True, Year: 2022)
- How Citizens Joined Fact-Checkers in the Fight Against Fake News (Rated: Other, Year: 2020)",You are a fact-checking assistant.
4,Six false assertions about Nigerian universities,Other,"- FACTSHEET: Nigeria's matriculation results between 2010 & 2016 (Rated: Other, Year: 2017)
- 10 key claims about Nigeria's economy that we fact-checked in 2021 – and why we did (Rated: False, Year: 2021)
- No evidence Nigerian presidential candidate Bola Tinubu claimed to have graduated from well-known Lagos school 4 years before it was established (Rated: False, Year: 2022)","Nigerian presidential candidate Bola Tinubu claimed to have graduated from well-known Lagos school 4 years before it was established (Rated: False, Year: 2022) In 2-3 sentences, explain why the verdict is correct, using the evidence above. Do not invent new facts; just summarise the reasoning."
5,Cloves and garlic clean the womb.,False,"- Do cloves boost fertility in women? Remedy not scientifically proven (Rated: False, Year: 2020)
- Can a mixture of garlic, turmeric, ginger & clove help women conceive? (Rated: False, Year: 2022)
- No, fruit and spice mix won't 'clean' worms from womb (Rated: False, Year: 2021)",Cloves and garlic are not 'clean' worms from the womb.
6,Former Pakistani finance minister Miftah Ismail says IMF loan was misused.,False,"- 'Huge' IMF fund for Zimbabwe's entrepreneurs? No, just another scam (Rated: False, Year: 2020)
- Imelda Nicolas posted wrong amounts of foreign aid for the rehabilitation of war-torn Marawi City. (Rated: False, Year: 2018)
- No Nigerian minister said Igbos would be denied funds because of Biafra (Rated: False, Year: 2020)",Former Pakistani finance minister Miftah Ismail says the IMF loan was misused. The IMF loan was misappropriated. The IMF loan was misappropriated. The IMF loan was misused. The IMF loan was misappropriated. The IMF loan was misused. The IMF loan was misused. The IMF loan was misused. The IMF loan was misused. The IMF loan was misused. The IMF loan was misused. The IMF loan was misused. The IMF loan was misused. The IMF loan was misuse
7,Standing in front of a microwave causes cancer.,False,"- Microwaved foods lead to a higher percentage of cancerous cells in the bloodstream. (Rated: False, Year: 2022)
- Japan bans microwave ovens as they cause cancer (Rated: False, Year: 2021)
- Research has proved that microwaving foods in plastic containers releases cancer-causing agents into the foods. (Rated: False, Year: 2002)","Microwaved foods lead to a higher percentage of cancerous cells in the bloodstream. Japan bans microwave ovens as they cause cancer (Rated: False, Year: 2021) Research has proved that microwaving foods in plastic containers releases cancer-causing agents into the foods. (Rated: False, Year: 2002)"
8,Fake QR code with Sonia Gandhi's image for Congress' campaign goes Viral,False,"- Fake picture of Rahul Gandhi goes viral on social media (Rated: False, Year: 2022)
- Fake Picture of Rahul Gandhi 'Meeting' Pulwama Attacker Goes Viral (Rated: False, Year: 2019)
- PM Modi touching Sonia Gandhi's feet? Fake image going viral | (Rated: Partially True, Year: 2019)","Fake QR code with Sonia Gandhi's image goes viral on social media. Fake picture of Rahul Gandhi 'Meeting' Pulwama Attacker Goes Viral (Rated: False, Year: 2022) Fake picture of Rahul Gandhi 'Meeting' Pulwama Attacker Goes Viral (Rated: False, Year: 2022) Fake picture of Rahul Gandhi 'Meeting' Pulwama Attacker Goes Viral (Rated: False, Year"
9,De-oligarchization of Ivanishvili or Granting the Candidate Status – What Does MP Samadashvili Consider a Mistake?,Partially True,"- Disinformation about Saakashvili being Appointed as the Prime Minister of Ukraine (Rated: False, Year: 2021)
- Fake News: Mikheil Saakashvili Offers Prime Minister's Position to Giorgi Gakharia in the Case of Victory (Rated: False, Year: 2021)
- Who Disseminated Fake Documents About Ivanishvili? (Rated: False, Year: 2020)","De-oligarchization of Ivanishvili or Granting the Candidate Status – What Does MP Samadashvili Consider a Mistake? Known verdict for this claim: Partially True Relevant past fact-checks: - Disinformation about Saakashvili being Appointed as the Prime Minister of Ukraine (Rated: False, Year: 2021) - Fake News: Mikheil Saakashvili Offers Prime Minister's Position to Giorgi Gakharia in the Case of Victory (Rated"
