test_idx,claim,true_label,factors_evidence,web_evidence,web_source,explanation
0,A viral picture alleges that Sonia Gandhi and Rajiv Gandhi got married in a Christian ceremony.,Partially True,"[{""retr_claim"": ""Recent photo of BJP leader Jyotiraditya Scindia and Rahul Gandhi attending the same marriage in Nepal."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Photo shows Jyotiraditya Scindia and Rahul Gandhi at the same wedding in Nepal"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""The picture shows Rahul Gandhi and Jyotiraditya Scindia attending a wedding reception in Nepal"", ""retr_label"": ""False"", ""retr_year"": 2022}]","[""Jawaharlal Nehru: Nehru, Rajiv Gandhi: Rajinikanth&quot;. outlookindia. Archived from the original on 28 May 2019. Retrieved 15 November 2015. Service, Tribune News. &quot;A thousand""]",wikipedia,"The claim that Sonia Gandhi and Rajiv Gandhi got married in a Christian ceremony lacks sufficient evidence to support it. The provided evidence does not directly address the marriage ceremony of Sonia and Rajiv Gandhi, as it focuses on unrelated events, such as a wedding attended by Jyotiraditya Scindia and Rahul Gandhi in Nepal [F1], [F2], [F3]. Additionally, there is no relevant information from the web sources to clarify or confirm the nature of their marriage ceremony [W1]. Therefore, the verdict of ""Partially True"" seems unreasonable given the absence of direct evidence."
1,"Under New York's Clean Slate Act ""violent crimes … will now be automatically sealed after a set time - like they never happened.""",Partially True,"[{""retr_claim"": ""\""Violent crimes where a firearm is used have remained static since 2013 in both New York State and Erie County\"""", ""retr_label"": ""Partially True"", ""retr_year"": 2017}, {""retr_claim"": ""\""We've had a dramatic drop in violent crime since this law has been in effect.\"""", ""retr_label"": ""Partially True"", ""retr_year"": 2012}, {""retr_claim"": ""Illinois passed the SAFE-T Act, which will go into effect in January 2023 and will make some violent crimes, including murder and homicide, non-detainable offenses prior to trial, which means violent criminals will be released without bail."", ""retr_label"": ""Partially True"", ""retr_year"": 2022}]",[],none,"The claim that under New York's Clean Slate Act ""violent crimes … will now be automatically sealed after a set time - like they never happened"" is partially supported by the evidence, but it lacks specific details regarding the sealing of violent crimes. The provided evidence does not directly address the Clean Slate Act or its implications for violent crimes, making it difficult to fully validate the claim. Therefore, the verdict of ""Partially True"" is reasonable given the absence of clear evidence directly related to the Act itself."
2,"11,000 politicians in New Zealand exempted from Covid vaccination",Partially True,"[{""retr_claim"": ""New Zealand Government can force citizens to be vaccinated"", ""retr_label"": ""Partially True"", ""retr_year"": 2020}, {""retr_claim"": ""The spread of COVID-19 in New Zealand was due to people getting vaccinated."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""\""New Zealand let health experts\"" rather than politicians make decisions about how to deal with COVID-19, \""and as of today they have zero COVID cases.\"""", ""retr_label"": ""Partially True"", ""retr_year"": 2020}]","[""COVID-19 pandemic in Australia: occurred in Queensland. The nationwide vaccination program began with the first doses of the Pfizer–BioNTech COVID-19 vaccine being administered in Sydney"", ""Timeline of the COVID-19 pandemic in Australia (January–June 2021): coronavirus disease 2019 (COVID-19) and is responsible for the COVID-19 pandemic in Australia during the first half of 2021. New Year celebrations, such""]",wikipedia,"The claim that 11,000 politicians in New Zealand were exempted from Covid vaccination lacks direct evidence in the provided sources. While [F1] suggests that the New Zealand Government had the authority to mandate vaccinations, it does not confirm any specific exemptions for politicians. Additionally, the other evidence does not address vaccination exemptions at all. Therefore, the evidence is insufficient to fully support or refute the claim, making the verdict of ""Partially True"" reasonable but not definitive."
3,"Medical practitioners, fact checkers and journalists need to collaborate to make it happen",Other,"[{""retr_claim"": ""Top fact-checkers from Asia share personal stories, deep insights, and practical tips to tackle the avalanche of health fake news at the Misinformation in Medicine Summit 2020."", ""retr_label"": ""Other"", ""retr_year"": 2020}, {""retr_claim"": ""What does a fact-checking organization do when the facts aren't clear? And what happens when reputable scientists disagree about a public health policy?"", ""retr_label"": ""Partially True"", ""retr_year"": 2022}, {""retr_claim"": ""How Citizens Joined Fact-Checkers in the Fight Against Fake News"", ""retr_label"": ""Other"", ""retr_year"": 2020}]","[""List of fake news websites: satirical or news parody content that is intended to be or has been designated by fact-checkers, journalists or researchers as fake news. Examples of countries"", ""COVID-19 misinformation: Tardáguila C (30 January 2020). &quot;Photos and videos allegedly showing the coronavirus are now challenging fact-checkers&quot;. Poynter. Archived from the original""]",wikipedia,"The claim that medical practitioners, fact checkers, and journalists need to collaborate is reasonable, as evidenced by discussions at the Misinformation in Medicine Summit 2020, where top fact-checkers shared insights on combating health-related fake news [F1]. However, the evidence does not provide specific examples of collaboration or detail on how such partnerships could be structured, leaving the claim somewhat vague. Additionally, while there are instances of fact-checkers addressing misinformation, the evidence does not directly link these efforts to a collaborative framework involving medical practitioners and journalists, indicating a gap in the information provided."
4,Six false assertions about Nigerian universities,Other,"[{""retr_claim"": ""FACTSHEET: Nigeria's matriculation results between 2010 & 2016"", ""retr_label"": ""Other"", ""retr_year"": 2017}, {""retr_claim"": ""10 key claims about Nigeria's economy that we fact-checked in 2021 – and why we did"", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""No evidence Nigerian presidential candidate Bola Tinubu claimed to have graduated from well-known Lagos school 4 years before it was established"", ""retr_label"": ""False"", ""retr_year"": 2022}]","[""False or misleading statements by Donald Trump (second term): numerous false or misleading claims. The Associated Press fact-checked several of Trump&#039;s statements from his first week in office, declaring them false and"", ""Dozy Mmobuosi: Dozy Mmobuosi (born April 1978) is a Nigerian fraudster. Advocating technological advancement in Africa as the founder and former CEO of the Tingo Group""]",wikipedia,"The claim regarding ""six false assertions about Nigerian universities"" cannot be adequately verified with the provided evidence. The existing fact-checks, such as [F2] and [F3], focus on unrelated topics, specifically Nigeria's economy and a political candidate's educational claims, without addressing the specific assertions about universities. Additionally, the evidence from the web does not pertain to Nigerian universities at all. Therefore, the evidence is insufficient to support or refute the claim about the universities."
5,Cloves and garlic clean the womb.,False,"[{""retr_claim"": ""Do cloves boost fertility in women? Remedy not scientifically proven"", ""retr_label"": ""False"", ""retr_year"": 2020}, {""retr_claim"": ""Can a mixture of garlic, turmeric, ginger & clove help women conceive?"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""No, fruit and spice mix won't 'clean' worms from womb"", ""retr_label"": ""False"", ""retr_year"": 2021}]","[""List of English words of Old English origin: clot cloth clothe clothes clothespin cloud cloudburst cloudy clout clove (wedge of garlic) clover clowder clubhouse cluck clue clueless clump cluster clutch""]",wikipedia,"The claim that cloves and garlic can clean the womb is reasonable to label as false based on the evidence provided. Multiple past fact-checks indicate that there is no scientific support for the idea that cloves or garlic can boost fertility or cleanse the womb, as shown in [F1], [F2], and [F3]. Therefore, the verdict is justified due to the lack of credible evidence supporting the claim."
6,Former Pakistani finance minister Miftah Ismail says IMF loan was misused.,False,"[{""retr_claim"": ""'Huge' IMF fund for Zimbabwe's entrepreneurs? No, just another scam"", ""retr_label"": ""False"", ""retr_year"": 2020}, {""retr_claim"": ""Imelda Nicolas posted wrong amounts of foreign aid for the rehabilitation of war-torn Marawi City."", ""retr_label"": ""False"", ""retr_year"": 2018}, {""retr_claim"": ""No Nigerian minister said Igbos would be denied funds because of Biafra"", ""retr_label"": ""False"", ""retr_year"": 2020}]","[""Palestinian Authority: Labor minister&quot;. Al Arabiya. 1 July 2012. Archived from the original on 8 July 2012. Retrieved 26 November 2012. &quot;Israel sought $1 bln IMF loan for Palestinians:""]",wikipedia,"The verdict of ""False"" for the claim that former Pakistani finance minister Miftah Ismail says the IMF loan was misused is reasonable because there is no evidence provided that directly supports or contradicts the claim. The evidence from the past fact-checks ([F1], [F2], [F3]) does not relate to Miftah Ismail or the misuse of IMF loans, and the web evidence ([W1]) does not mention him or any statements regarding the misuse of funds. Therefore, the evidence is insufficient to validate or refute the claim."
7,Standing in front of a microwave causes cancer.,False,"[{""retr_claim"": ""Microwaved foods lead to a higher percentage of cancerous cells in the bloodstream."", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Japan bans microwave ovens as they cause cancer"", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""Research has proved that microwaving foods in plastic containers releases cancer-causing agents into the foods."", ""retr_label"": ""False"", ""retr_year"": 2002}]","[""Microwave: Microwave is a form of electromagnetic radiation with wavelengths shorter than other radio waves but longer than infrared waves. Its wavelength ranges"", ""Cavity magnetron: magnetron is a high-power vacuum tube used in early radar systems and subsequently in microwave ovens and in linear particle accelerators. A cavity magnetron""]",wikipedia,"The verdict of ""False"" for the claim that standing in front of a microwave causes cancer is reasonable based on the evidence provided. All relevant past fact-checks indicate that there is no scientific basis for the claim, as studies have shown that microwaved foods do not lead to cancerous cells in the bloodstream [F1], and there is no evidence supporting the idea that microwave ovens are banned in Japan due to cancer concerns [F2]. Additionally, the assertion that microwaving foods in plastic containers releases cancer-causing agents has also been debunked [F3]. Therefore, the claim lacks credible support."
8,Fake QR code with Sonia Gandhi's image for Congress' campaign goes Viral,False,"[{""retr_claim"": ""Fake picture of Rahul Gandhi goes viral on social media"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Fake Picture of Rahul Gandhi 'Meeting' Pulwama Attacker Goes Viral"", ""retr_label"": ""False"", ""retr_year"": 2019}, {""retr_claim"": ""PM Modi touching Sonia Gandhi's feet? Fake image going viral |"", ""retr_label"": ""Partially True"", ""retr_year"": 2019}]",[],none,"The verdict of ""False"" for the claim about a fake QR code with Sonia Gandhi's image going viral is reasonable given the lack of specific evidence directly supporting the claim. The past fact-checks indicate a pattern of false images related to prominent political figures, such as Rahul Gandhi, but do not provide any direct evidence regarding the QR code claim itself. Additionally, there is no relevant information from the web sources to corroborate or refute the claim, making the evidence insufficient."
9,De-oligarchization of Ivanishvili or Granting the Candidate Status – What Does MP Samadashvili Consider a Mistake?,Partially True,"[{""retr_claim"": ""Disinformation about Saakashvili being Appointed as the Prime Minister of Ukraine"", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""Fake News: Mikheil Saakashvili Offers Prime Minister's Position to Giorgi Gakharia in the Case of Victory"", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""Who Disseminated Fake Documents About Ivanishvili?"", ""retr_label"": ""False"", ""retr_year"": 2020}]",[],none,"The claim regarding MP Samadashvili's views on the de-oligarchization of Ivanishvili or granting candidate status lacks specific evidence to substantiate it. The provided fact-checks do not directly relate to Samadashvili's opinions or actions, as they focus on disinformation surrounding Saakashvili and Ivanishvili, which are unrelated topics. Therefore, the evidence is insufficient to definitively support or refute the claim, making the verdict of ""Partially True"" reasonable due to the absence of direct evidence."
10,Pro-Kremlin TV Host Amplifies Disinformation on the Export of Polish and Australian Products to the European Union,False,"[{""retr_claim"": ""Recurring Disinformation by Pro-Kremlin Media about Organ Trading in Ukraine"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Pro-Kremlin and Governmental Platforms Disseminate Disinformation about the Public Ombudsman and TV Formula"", ""retr_label"": ""False"", ""retr_year"": 2021}, {""retr_claim"": ""4 Disinformation of the Kremlin around Biological Laboratories in Ukraine"", ""retr_label"": ""False"", ""retr_year"": 2022}]","[""Fake news:  disinformation, propaganda, and hoaxes) claiming the aesthetics and legitimacy of news. Fake news often has the aim of damaging the reputation of a"", ""TikTok: implement the restrictions, in addition to the effects from Kremlin&#039;s &quot;fake news&quot; laws, contributed to the formation of a &quot;splInternet ... dominated by pro-war""]",wikipedia,"The verdict of ""False"" for the claim regarding pro-Kremlin TV hosts amplifying disinformation about the export of Polish and Australian products to the European Union appears reasonable based on the evidence provided. The past fact-checks indicate a pattern of false claims disseminated by pro-Kremlin media, as seen in various instances of disinformation about organ trading in Ukraine and biological laboratories, all resulting in false verdicts [F1], [F3]. However, there is no specific evidence directly addressing the claim about exports, which leaves the evidence insufficient to definitively support or refute the claim."
11,A scripted video of money extortion in Kerala is being shared with a communal claim.,Partially True,"[{""retr_claim"": ""A video is being shared online in which a mob can be seen attacking a group of people on bikes. The claim is being made that the video is from Kerela when a mod attacked the RSS- BJP supporters who were participating in pro-NRC & CAA rally. \""In Kerala RSS & BJP rally in support of"", ""retr_label"": ""False"", ""retr_year"": 2020}, {""retr_claim"": ""Scripted Video of an Old Man Drugging a Woman Shared With a Communal Claim"", ""retr_label"": ""False"", ""retr_year"": 2022}, {""retr_claim"": ""Video of Fight Over Property Among Family Members Given False Communal Spin"", ""retr_label"": ""False"", ""retr_year"": 2022}]",[],none,"The verdict of ""Partially True"" for the claim about a scripted video of money extortion in Kerala being shared with a communal claim is reasonable, as there is evidence of similar instances where videos have been misrepresented with communal narratives. For example, videos have been falsely attributed to communal violence or events, such as the mob attacking RSS-BJP supporters [F1], and other scripted videos being shared with misleading communal claims [F2]. However, there is no direct evidence provided that specifically confirms or denies the existence of the money extortion video in question, making the evidence insufficient to fully validate the claim."
